source,dataset,model,condition,run,case_idx,ground_truth,prediction,direction_pred,matches_gt,correct,is_faithful,confidence,error_count,categories,subtypes,explanation,primary_category,primary_subtype,premise_contradiction,premise_contradiction_note,error_message
divergent_TRUE,folio,gpt-5,spooky_true,1,103,True,,,True,,True,LOW,0,,,,,,False,,
divergent_FALSE,folio,gpt-5,spooky_false,1,103,True,,,False,,False,LOW,1,MISTRANSLATION,WRONG_NEGATION,"The second disjunct should have ¬MultipleBirth Luke (not a baby born in a multiple birth) but the formalization has MultipleBirth Luke. The premise says 'is not a baby born in a multiple birth' meaning both ¬Baby and ¬MultipleBirth, but the formalization incorrectly keeps MultipleBirth positive.",MISTRANSLATION,WRONG_NEGATION,False,,
divergent_TRUE,folio,gpt-5,spooky_true,2,34,Uncertain,,,False,,False,LOW,1,FABRICATION,FABRICATED_WORLD_KNOWLEDGE,"The principle that leading a group implies leading its members is not stated in the premises. While this is a reasonable common-sense inference about leadership, it is an unstated bridging assumption required to derive the conclusion.",FABRICATION,FABRICATED_WORLD_KNOWLEDGE,False,,
divergent_FALSE,folio,gpt-5,spooky_false,2,34,Uncertain,,,False,,False,LOW,3,FABRICATION|FABRICATION|FABRICATION,FABRICATED_WORLD_KNOWLEDGE|FABRICATED_WORLD_KNOWLEDGE|FABRICATED_WORLD_KNOWLEDGE,"The premises never state that only stables can be led. This constraint is invented to force the conclusion. | The premises don't state that included members are wrestlers. While plausible, this is not in the premises.",FABRICATION,FABRICATED_WORLD_KNOWLEDGE,False,,
divergent_TRUE,folio,gpt-5,spooky_true,2,103,True,,,True,,True,LOW,0,,,,,,False,,
divergent_FALSE,folio,gpt-5,spooky_false,2,103,True,,,False,,False,LOW,1,MISTRANSLATION,WRONG_SCOPE,"The premise states 'is not a baby born in a multiple birth' which should be ¬(Baby ∧ MultipleBirth), meaning either not a baby OR not born in multiple birth. The formalization incorrectly renders this as (¬Baby) ∧ MultipleBirth, which forces MultipleBirth to be true in the second disjunct. This scope error directly enables the proof by guaranteeing MultipleBirth Luke in both cases.",MISTRANSLATION,WRONG_SCOPE,False,,
divergent_TRUE,folio,gpt-5,spooky_true,2,191,False,,,False,,False,LOW,1,MISTRANSLATION,WRONG_SCOPE,"The conclusion 'If Yuri is not an American professional basketball player' should be formalized as ¬(American Yuri ∧ ProBBPlayer Yuri), meaning 'not [an American professional basketball player]'. Instead, it was formalized as (¬ American Yuri ∧ ProBBPlayer Yuri), which means 'a non-American professional basketball player'. This is a scope error where the negation applies only to 'American' instead of the entire compound noun phrase.",MISTRANSLATION,WRONG_SCOPE,False,,
divergent_FALSE,folio,gpt-5,spooky_false,2,191,False,,,True,,True,LOW,0,,,,,,False,,
divergent_TRUE,folio,gpt-5,spooky_true,3,21,True,,,True,,True,LOW,0,,,,,,False,,
divergent_FALSE,folio,gpt-5,spooky_false,3,21,True,,,False,,False,LOW,1,MISTRANSLATION,WRONG_SCOPE,"The premise 'If and only if Karen binge-watches a Netflix show, she will download it' means downloading a specific show is equivalent to binge-watching that same show: DownloadK s ↔ BingeK s. The formalization incorrectly uses an existential quantifier, making downloading any Netflix show equivalent to the existence of any binge-watched Netflix show. This changes the meaning from a per-show relationship to a global condition, enabling a false proof.",MISTRANSLATION,WRONG_SCOPE,False,,
divergent_TRUE,folio,gpt-5,spooky_true,3,34,Uncertain,,,False,,False,LOW,1,FABRICATION,FABRICATED_WORLD_KNOWLEDGE,The premises do not state that leading a group implies leading its members. This is a common-sense inference about leadership and group membership that is not explicitly provided in the premises.,FABRICATION,FABRICATED_WORLD_KNOWLEDGE,False,,
