test_set,case_idx,source,folio_id,model,v26_faithful,v26_category,fol_gt_faithful,fol_gt_errors
fabrication,177,fabrication,149,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': 'Axiom A (WonMostMedalsInEvent UnitedStates LastSummerOlympicGames) has no corresponding premise in the FOL GT. It directly asserts the conclusion rather than deriving it.'}, {'category': 'MISTRANSLATION', 'explanation': 'The FOL conclusion ∃x (LastSummerO"
fabrication,34,fabrication,290,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'Leads_of_Includes' has no corresponding premise in the FOL GT. It introduces a rule that if someone leads a group and the group includes something, then they lead that thing. This inference rule is not part of the original premises.""}, {'catego"
fabrication,32,fabrication,895,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'notLivesInTaxHaven_Djokovic : ¬ LivesInTaxHaven Djokovic' is fabricated. It does not correspond to any premise in the FOL GT. The Lean code even proves the opposite (LivesInTaxHaven Djokovic) from the actual premises, then introduces this fabri"
fabrication,181,fabrication,1268,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'GrumpyTom : Grumpy Tom' directly asserts the conclusion as a premise. This has no corresponding premise in the FOL GT. While the conclusion indeed doesn't follow from the premises, the correct approach is to state it as a theorem goal, not fabr"
fabrication,194,fabrication,412,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': 'Axiom P7 states all leaderboard participants in DuMaurierClassic1992 participated in the event, but FOL premise 5 only states that maurier participates in events where maurier is on the leaderboard - completely different meaning'}, {'category': 'FABRICATI"
fabrication,51,fabrication,608,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""BasqueInRomance axiom directly asserts the conclusion 'InFamily Basque Romance' with no corresponding premise in FOL GT""}, {'category': 'MISTRANSLATION', 'explanation': ""P7 adds condition 'y ≠ Basque' not present in FOL premise 6, which states Basque is u"
fabrication,123,fabrication,788,gpt-5,False,MISTRANSLATION,,[]
fabrication,199,fabrication,305,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'inconsistent : False' has no corresponding premise in the FOL ground truth. This fabricated axiom allows deriving any statement trivially, bypassing the actual logical relationship between premises and conclusion.""}]"
fabrication,60,fabrication,548,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""Axiom NotJ1Mike (¬ J1 Mike) has no corresponding premise in the FOL ground truth. This axiom is explicitly added and acknowledged in comments as 'not derivable from given axioms'.""}, {'category': 'MISTRANSLATION', 'explanation': 'P1 uses inclusive disjunc"
fabrication,66,fabrication,664,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': 'Axiom EndowmentLargestIf_42_3B introduces a premise not in FOL GT - it claims that having a $42.3B endowment implies having the largest endowment, which is not stated anywhere in the original premises'}, {'category': 'MISTRANSLATION', 'explanation': 'FOL "
fabrication,89,fabrication,173,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': 'P4 (Person Harry) has no corresponding premise in FOL GT'}, {'category': 'FABRICATION', 'explanation': 'P7 (AuthorOf HenryThoreau Walden) has no corresponding premise in FOL GT'}, {'category': 'FABRICATION', 'explanation': 'A_smarter_has_gained axiom adds"
fabrication,102,fabrication,1012,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""Axiom A6 introduces a 'Baby' predicate that does not exist in the FOL ground truth""}, {'category': 'MISTRANSLATION', 'explanation': 'Axiom A6 incorrectly translates the XOR negation. FOL says ¬(BornIn(luke, multipleBirth) ⊕ LiveWith(luke, strangers)), whi"
