Dataset,Model,Condition,Consistent,Inconsistent,Total,Consistency %,Fleiss Kappa
folio,deepseek,baseline,187,16,203,92.11822660098522,0.9190038403351566
folio,deepseek,bidir_true,192,11,203,94.58128078817734,0.9204053989829382
folio,deepseek,bidir_false,191,12,203,94.08866995073892,0.8998629761578516
folio,deepseek,spooky_true,190,13,203,93.59605911330048,0.9071188906356321
folio,deepseek,spooky_false,190,13,203,93.59605911330048,0.8971417435364426
folio,deepseek,twostage,136,63,199,68.34170854271356,0.6760990827554635
folio,gpt-5,baseline,190,13,203,93.59605911330048,0.9341035266307649
folio,gpt-5,bidir_true,198,5,203,97.53694581280789,0.9635765550239233
folio,gpt-5,bidir_false,194,9,203,95.56650246305419,0.9268204758471522
folio,gpt-5,spooky_true,196,7,203,96.55172413793103,0.9512599469496019
folio,gpt-5,spooky_false,191,12,203,94.08866995073892,0.9089776803507374
folio,gpt-5,twostage,146,57,203,71.92118226600985,0.7139054181020984
multilogieval,deepseek,baseline,83,17,100,83.0,0.8089032868634661
multilogieval,deepseek,bidir_true,80,20,100,80.0,0.7323698648467816
multilogieval,deepseek,bidir_false,87,13,100,87.0,0.772872867043271
multilogieval,deepseek,spooky_true,85,15,100,85.0,0.797979797979798
multilogieval,deepseek,spooky_false,79,21,100,79.0,0.6299342105263157
multilogieval,deepseek,twostage,64,35,99,64.64646464646465,0.5633056719303898
multilogieval,gpt-5,baseline,82,18,100,82.0,0.8107852412488172
multilogieval,gpt-5,bidir_true,88,12,100,88.0,0.8398220244716352
multilogieval,gpt-5,bidir_false,92,8,100,92.0,0.8523894458453776
multilogieval,gpt-5,spooky_true,96,4,100,96.0,0.9447412046417389
multilogieval,gpt-5,spooky_false,90,10,100,90.0,0.8321772208547777
multilogieval,gpt-5,twostage,61,39,100,61.0,0.5891395898243572
