source,dataset,model,condition,run,case_idx,ground_truth,prediction,direction_pred,matches_gt,correct,is_faithful,confidence,error_count,categories,subtypes,explanation,primary_category,primary_subtype,premise_contradiction,premise_contradiction_note,error_message
fabrication,folio,gpt-5,,1,177,True,Uncertain,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"This axiom directly states the conclusion 'The United States won the most medals in the last summer Olympic games' which should be proven, not assumed. The proof trivially returns this axiom.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,34,Uncertain,Uncertain,,,,,LOW,0,,,,,,False,,"## STEP 1: Analyze axiom-premise correspondence

| Premise | Axioms |
|---------|--------|
| ""Diamond Mine is a professional wrestling stable formed in WWE"" | P1 (Stable DiamondMine), P2 (FormedIn DiamondMine WWE) |
| ""Roderick Strong leads Diamond Mine"" | P3 (Leads RoderickStrong DiamondMine) |
| ""Diamond Mine includes the Creed Brothers and Ivy Nile"" | P4 (Includes DiamondMine CreedBrothers), P5 (Includes DiamondMine IvyNile) |
| ""Imperium has a feud with Diamond Mine"" | P6 (FeudWith Imperium "
fabrication,folio,gpt-5,,1,32,False,False,,,,False,LOW,2,FABRICATION|FABRICATION,CONCLUSION_AS_AXIOM|FABRICATED_CONTRADICTION,"The conclusion 'Djokovic does not live in a tax haven' is asserted as an axiom rather than being derived from the premises. This is the statement to be proved, not a given premise. | The premises actually entail that Djokovic DOES live in a tax haven (as shown by theorem livesInTaxHaven_Djokovic). Adding the negation as an axiom creates a contradiction, enabling explosion.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,181,Uncertain,Uncertain,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"The conclusion 'Tom is a grumpy person' is directly assumed as an axiom. This is not stated in any premise, and in fact cannot be derived from the premises - the premises only establish that some grumpy person exists who is mean to animals, not that Tom is grumpy.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,194,Uncertain,Uncertain,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"The conclusion that Descampe is in the six-way tie is directly stated as axiom A, rather than being derived from the premises. The theorem is then trivially 'proven' by referencing this axiom.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,51,False,Uncertain,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"The conclusion 'Basque is a Romance language' is directly assumed as an axiom rather than being derived. This conclusion should actually be refuted by the premises (Basque is not related to any other language, but Romance languages are related to each other), yet it is simply asserted as true.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,123,True,Uncertain,,,,False,LOW,2,FABRICATION|MISTRANSLATION,CONCLUSION_AS_AXIOM|WRONG_CONNECTIVE,"The conclusion 'John's car is not a Solo EV' is directly assumed as an axiom rather than being proven from the premises. | The premise says 'not a Tesla Model 3 or a single-seat electric car' meaning neither (conjunction of negations). The formalization uses disjunction with only the first term negated, instead of ¬TeslaModel3 ∧ ¬SingleSeatElectricCar.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,199,False,False,,,,False,LOW,1,FABRICATION,FABRICATED_CONTRADICTION,"This axiom directly asserts False with no basis in any premise. It is introduced solely to prove a conclusion that is actually contradicted by the premises (P3 says Ailton Silva plays for Náutico, and P4 says Náutico is a football club).",FABRICATION,FABRICATED_CONTRADICTION,False,,
fabrication,folio,gpt-5,,1,60,Uncertain,Uncertain,,,,False,LOW,1,FABRICATION,FABRICATED_INVENTED,No premise states that Mike does not have a J1 visa. This axiom is fabricated to enable the proof by eliminating the J1 possibility from the disjunction F1 ∨ J1.,FABRICATION,FABRICATED_INVENTED,False,,
fabrication,folio,gpt-5,,1,66,Uncertain,Uncertain,,,,False,LOW,1,FABRICATION,FABRICATED_WORLD_KNOWLEDGE,"The premises only state Yale's endowment is $42.3 billion. They never state this is the largest endowment among educational institutions. This axiom fabricates the inference that having $42.3 billion endowment implies having the largest endowment, which is external world knowledge not present in the premises.",FABRICATION,FABRICATED_WORLD_KNOWLEDGE,False,,
fabrication,folio,gpt-5,,1,89,Uncertain,False,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"The conclusion 'A smarter person has gained knowledge' is directly encoded as an axiom rather than being derived from the premises. The premises only establish that gaining knowledge makes one smarter (P3: GainsKnowledge → Smarter), not the converse (Smarter → GainsKnowledge). This axiom fabricates the conclusion.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,102,False,Uncertain,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,The axiom 'ComplainsOftenAboutAnnoyingSiblings Luke' directly asserts the conclusion that needs to be proven. This statement does not appear in any of the premises - it is the conclusion itself being assumed as a fact.,FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,140,False,Uncertain,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"The conclusion that 'Hachi: A dog's Tale' contains excessive erotic and violent content or is in the Frozen series is assumed as an axiom rather than being proven from the premises. This is the statement that should be derived, not assumed.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,150,Uncertain,Uncertain,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"The conclusion 'Harry Potter was published by New Vessel Press' is directly asserted as an axiom. Harry Potter is never mentioned in any premise, and this is exactly what the problem asks us to evaluate, not assume.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,8,Uncertain,False,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"The conclusion asks whether coughing is a symptom of Monkeypox. P10 directly asserts this as an axiom, but no premise states that coughing is a symptom. The premises only list fever, headache, muscle pains, and tiredness as symptoms.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,152,Uncertain,Uncertain,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"The conclusion 'The mixture contains carbon' has been added as an axiom. This is exactly what we are supposed to prove, not a given premise. The proof becomes trivially true by just returning the axiom itself.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,173,False,False,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"The conclusion 'Taylor visits the gym at least once a day' is directly asserted as an axiom. This is not stated in any premise. In fact, the code itself proves the opposite (not_goal shows Taylor does NOT visit the gym), then circumvents this by adding the conclusion as an axiom.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,172,Uncertain,False,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"The axiom 'extra' directly asserts that Taylor eats salads regularly, which is exactly the conclusion to be proved. No premise states this fact. The proof trivially follows from this fabricated axiom.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,78,False,False,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"The conclusion 'Dried Thai chilies are products of Baked by Melissa' is directly asserted as an axiom. This is not stated in any premise - it IS the conclusion that needs to be proved. The code even proves not_goal showing the conclusion is actually false given the premises, then fabricates AGoal to force the desired result.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,169,Uncertain,False,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"The conclusion 'Colorectal cancer is a kind of severe cancer' is stated as an axiom A, making the theorem trivially provable by just citing A. The conclusion should be what needs to be proved, not assumed.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,2,0,Uncertain,Uncertain,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"The conclusion 'Bonnie performs in school talent shows often' has been added as an axiom. This is exactly what the theorem is supposed to prove, not a premise.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
