source,dataset,model,condition,run,case_idx,ground_truth,prediction,direction_pred,matches_gt,correct,is_faithful,confidence,error_count,categories,subtypes,explanation,primary_category,primary_subtype,premise_contradiction,premise_contradiction_note,error_message
divergent_TRUE,folio,gpt-5,spooky_true,1,103,True,,,True,,True,LOW,0,,,,,,False,,
divergent_TRUE,folio,gpt-5,spooky_true,2,103,True,,,True,,True,LOW,0,,,,,,False,,
divergent_TRUE,folio,gpt-5,spooky_true,3,103,True,,,True,,True,LOW,0,,,,,,False,,
divergent_FALSE,folio,gpt-5,spooky_false,1,103,True,,,False,,False,LOW,1,MISTRANSLATION,WRONG_SCOPE,"The second disjunct incorrectly includes 'MultipleBirth Luke'. The premise 'is not a baby born in a multiple birth' means ¬(Baby ∧ MultipleBirth), but the formalization has (¬Baby ∧ MultipleBirth). The negation should scope over the entire phrase 'baby born in a multiple birth', not just 'baby'. This error makes MultipleBirth Luke true in both disjuncts, directly enabling the proof.",MISTRANSLATION,WRONG_SCOPE,False,,
divergent_FALSE,folio,gpt-5,spooky_false,2,103,True,,,False,,False,LOW,1,MISTRANSLATION,WRONG_SCOPE,"The premise states 'is not a baby born in a multiple birth' which should be ¬(Baby ∧ MultipleBirth), but the formalization has (¬Baby ∧ MultipleBirth), incorrectly adding MultipleBirth Luke to the second disjunct. This changes the meaning from 'not (a baby born in multiple birth)' to 'not a baby AND born in multiple birth'.",MISTRANSLATION,WRONG_SCOPE,False,,
divergent_TRUE,folio,gpt-5,spooky_true,1,34,Uncertain,,,False,,False,LOW,1,FABRICATION,FABRICATED_WORLD_KNOWLEDGE,"This bridging principle stating that leading a group implies leading its members is not stated in the premises. While it may be a reasonable common-sense inference about leadership, the premises only state that Roderick Strong leads Diamond Mine and that Diamond Mine includes the Creed Brothers - they do not explicitly state that leading an organization means leading each of its members.",FABRICATION,FABRICATED_WORLD_KNOWLEDGE,False,,
divergent_TRUE,folio,gpt-5,spooky_true,2,34,Uncertain,,,False,,False,LOW,1,FABRICATION,FABRICATED_WORLD_KNOWLEDGE,This bridging principle that leading a group implies leading its members is not stated in any premise. It is common-sense world knowledge about the semantics of 'leading' that has been added to make the proof work.,FABRICATION,FABRICATED_WORLD_KNOWLEDGE,False,,
divergent_TRUE,folio,gpt-5,spooky_true,3,34,Uncertain,,,False,,False,LOW,1,FABRICATION,FABRICATED_WORLD_KNOWLEDGE,"The axiom that leading a group implies leading its members is not stated in the premises. While it's a reasonable common-sense inference about what 'leads' means, the premises only state that Roderick Strong leads Diamond Mine and that Diamond Mine includes the Creed Brothers - they do not explicitly state that leading a group means leading each member of that group.",FABRICATION,FABRICATED_WORLD_KNOWLEDGE,False,,
divergent_FALSE,folio,gpt-5,spooky_false,2,34,Uncertain,,,False,,False,LOW,3,FABRICATION|FABRICATION|FABRICATION,FABRICATED_WORLD_KNOWLEDGE|FABRICATED_WORLD_KNOWLEDGE|FABRICATED_WORLD_KNOWLEDGE,"The premise that if someone leads something, that thing must be a stable is not stated in the premises. This is fabricated domain knowledge used to derive the contradiction. | The premise that members included in a stable are wrestlers is not stated in the premises. While plausible, it is fabricated world knowledge.",FABRICATION,FABRICATED_WORLD_KNOWLEDGE,False,,
divergent_FALSE,folio,gpt-5,spooky_false,3,34,Uncertain,,,False,,False,LOW,2,FABRICATION|FABRICATION,FABRICATED_WORLD_KNOWLEDGE|FABRICATED_WORLD_KNOWLEDGE,No premise states that anything being led must be a stable. This is an invented domain rule not supported by the given premises. | No premise states that members included in a stable cannot themselves be stables. This is fabricated world knowledge about the structure of wrestling organizations.,FABRICATION,FABRICATED_WORLD_KNOWLEDGE,False,,
divergent_TRUE,folio,gpt-5,spooky_true,1,21,True,,,True,,True,LOW,0,,,,,,False,,
divergent_TRUE,folio,gpt-5,spooky_true,2,21,True,,,True,,True,LOW,0,,,,,,False,,
divergent_TRUE,folio,gpt-5,spooky_true,3,21,True,,,True,,True,LOW,0,,,,,,False,,
divergent_FALSE,folio,gpt-5,spooky_false,3,21,True,,,False,,False,LOW,1,MISTRANSLATION,WRONG_SCOPE,"The premise 'If and only if Karen binge-watches a Netflix show, she will download it' means downloading and binge-watching refer to the SAME show: ∀s, Netflix s → (DownloadK s ↔ BingeK s). The formalization incorrectly introduces an existential quantifier over a different variable t, making download of any Netflix show equivalent to existence of ANY binge-watched show. This changes the meaning entirely and enables the false proof.",MISTRANSLATION,WRONG_SCOPE,False,,
divergent_TRUE,folio,gpt-5,spooky_true,2,191,False,,,False,,False,LOW,1,MISTRANSLATION,WRONG_SCOPE,"The conclusion 'If Yuri is not an American professional basketball player' should be formalized as ¬(American Yuri ∧ ProBBPlayer Yuri), meaning Yuri is NOT in the category of American professional basketball players. Instead, it was formalized as (¬ American Yuri ∧ ProBBPlayer Yuri), which means Yuri IS a professional basketball player who is not American. The negation scope is wrong - it should negate the entire compound, not just 'American'.",MISTRANSLATION,WRONG_SCOPE,False,,
divergent_FALSE,folio,gpt-5,spooky_false,1,191,False,,,True,,True,LOW,0,,,,,,False,,
divergent_FALSE,folio,gpt-5,spooky_false,2,191,False,,,True,,True,LOW,0,,,,,,False,,
divergent_FALSE,folio,gpt-5,spooky_false,3,191,False,,,True,,True,LOW,0,,,,,,False,,
divergent_TRUE,multilogieval,gpt-5,bidir_true,1,34,no,,,False,,False,LOW,1,FABRICATION,FABRICATED_INVENTED,The premises never state that Dr. Lee is a professor. The conclusion only states 'Dr. Lee collaborates with top scholars' but does not establish Dr. Lee as a professor. This fabricated axiom creates a contradiction that enables proving anything via explosion.,FABRICATION,FABRICATED_INVENTED,False,,
divergent_TRUE,multilogieval,gpt-5,bidir_true,2,34,no,,,False,,False,LOW,1,FABRICATION,FABRICATED_WORLD_KNOWLEDGE,"The premises never state that Dr. Lee is a professor. While the context discusses professors at a university, Dr. Lee is only mentioned in the conclusion as someone who collaborates with top scholars. Assuming Dr. Lee is a professor is an unstated inference that enables the contradiction-based proof.",FABRICATION,FABRICATED_WORLD_KNOWLEDGE,False,,
divergent_FALSE,multilogieval,gpt-5,bidir_false,1,34,no,,,True,,False,LOW,1,FABRICATION,FABRICATED_WORLD_KNOWLEDGE,"The premises never state that Dr. Lee is a professor. While the context discusses professors at a university, Dr. Lee is only mentioned in the conclusion which asks about collaboration and curiosity. The assumption that Dr. Lee is a professor is a contextual inference not explicitly stated in the premises.",FABRICATION,FABRICATED_WORLD_KNOWLEDGE,False,,
divergent_FALSE,multilogieval,gpt-5,bidir_false,2,34,no,,,True,,True,LOW,0,,,,,,False,,
divergent_FALSE,multilogieval,gpt-5,bidir_false,3,34,no,,,True,,True,LOW,0,,,,,,False,,
divergent_TRUE,multilogieval,gpt-5,bidir_true,1,71,no,,,False,,True,LOW,0,,,,,,False,,
divergent_TRUE,multilogieval,gpt-5,bidir_true,2,71,no,,,False,,True,LOW,0,,,,,,False,,
divergent_TRUE,multilogieval,gpt-5,bidir_true,3,71,no,,,False,,True,LOW,0,,,,,,False,,
divergent_FALSE,multilogieval,gpt-5,bidir_false,3,71,no,,,True,,False,LOW,1,MISTRANSLATION,WRONG_PREDICATE,"The conclusion asks about 'Burnt Alex → Sunny' (if Alex got sunburnt, was the weather sunny). With direction FALSE, the theorem should prove ¬(Burnt Alex → Sunny), which is equivalent to Burnt Alex ∧ ¬Sunny. Instead, the theorem proves ¬Burnt Alex, which is a completely different statement and actually contradicts what would be needed for the negation of the implication.",MISTRANSLATION,WRONG_PREDICATE,False,,
divergent_TRUE,multilogieval,gpt-5,bidir_true,3,26,no,,,False,,True,LOW,0,,,,,,False,,
divergent_FALSE,multilogieval,gpt-5,bidir_false,1,26,no,,,True,,True,LOW,0,,,,,,False,,
divergent_FALSE,multilogieval,gpt-5,bidir_false,2,26,no,,,True,,False,LOW,2,FABRICATION|FABRICATION,FABRICATED_WORLD_KNOWLEDGE|FABRICATED_WORLD_KNOWLEDGE,The premises never state that a 'significant game' is an 'important game'. This relationship is assumed based on common-sense synonymy but is not explicitly stated in the premises. | The premises never state that a 'significant game' is a 'big match'. This relationship is assumed based on common-sense synonymy but is not explicitly stated in the premises.,FABRICATION,FABRICATED_WORLD_KNOWLEDGE,False,,
divergent_TRUE,multilogieval,gpt-5,spooky_true,1,94,yes,,,True,,True,LOW,0,,,,,,False,,
divergent_TRUE,multilogieval,gpt-5,spooky_true,2,94,yes,,,True,,True,LOW,0,,,,,,False,,
divergent_TRUE,multilogieval,gpt-5,spooky_true,3,94,yes,,,True,,True,LOW,0,,,,,,False,,
divergent_FALSE,multilogieval,gpt-5,spooky_false,2,94,yes,,,False,,False,LOW,4,FABRICATION|FABRICATION|FABRICATION|FABRICATION,FABRICATED_INVENTED|FABRICATED_INVENTED|FABRICATED_INVENTED|FABRICATED_INVENTED,The premises never state that Lauren does not run races faster. This is a fabricated fact about Lauren. | The premises never state that Lauren did not stretch after runs. This is a fabricated fact.,FABRICATION,FABRICATED_INVENTED,False,,
divergent_TRUE,multilogieval,gpt-5,spooky_true,1,26,no,,,False,,False,LOW,1,FABRICATION,FABRICATED_WORLD_KNOWLEDGE,"The premises mention 'important game' and 'big match' but the conclusion asks about 'significant game'. The axioms Sig_to_Imp and Sig_to_Big assume that 'significant' implies both 'important' and 'big', which is common-sense inference not explicitly stated in the premises.",FABRICATION,FABRICATED_WORLD_KNOWLEDGE,False,,
divergent_TRUE,multilogieval,gpt-5,spooky_true,3,26,no,,,False,,False,LOW,1,FABRICATION,FABRICATED_WORLD_KNOWLEDGE,"The premises never state that a 'significant game' is equivalent to or implies an 'important game' or 'big match'. This axiom introduces an unstated relationship between 'significant game' (from the question) and the concepts 'important game' and 'big match' (from the premises). While this may be a reasonable common-sense inference, it is not explicitly stated in the premises.",FABRICATION,FABRICATED_WORLD_KNOWLEDGE,False,,
divergent_FALSE,multilogieval,gpt-5,spooky_false,1,26,no,,,True,,True,LOW,0,,,,,,False,,
divergent_FALSE,multilogieval,gpt-5,spooky_false,2,26,no,,,True,,False,LOW,1,FABRICATION,FABRICATED_WORLD_KNOWLEDGE,"The premises mention 'important game' and 'big match', while the conclusion asks about 'significant game'. The axiom assumes these terms are related (significant = important or big match), but this equivalence is not stated in the premises. This is an unstated semantic bridge.",FABRICATION,FABRICATED_WORLD_KNOWLEDGE,False,,
divergent_FALSE,multilogieval,gpt-5,spooky_false,3,26,no,,,True,,True,LOW,0,,,,,,False,,
divergent_TRUE,multilogieval,gpt-5,spooky_true,1,34,no,,,False,,False,LOW,1,OMISSION,MISSING_AXIOM,"The premise 'Either research was not published or collaborations did not happen' is not formalized. This premise (¬Publish ∨ ¬CollaboratesTop, or for some entity) is relevant as it indicates collaborations didn't actually happen in the scenario.",OMISSION,MISSING_AXIOM,False,,
divergent_TRUE,multilogieval,gpt-5,spooky_true,2,34,no,,,False,,False,LOW,1,FABRICATION,FABRICATED_INVENTED,The premises never state that Dr. Lee is a professor. Dr. Lee is only mentioned in the conclusion as someone who collaborates with top scholars. The fact that Dr. Lee is a professor is invented without any basis in the premises.,FABRICATION,FABRICATED_INVENTED,False,,
divergent_TRUE,multilogieval,gpt-5,spooky_true,3,34,no,,,False,,True,LOW,0,,,,,,False,,
divergent_FALSE,multilogieval,gpt-5,spooky_false,1,34,no,,,True,,True,LOW,0,,,,,,False,,
divergent_FALSE,multilogieval,gpt-5,spooky_false,2,34,no,,,True,,False,LOW,1,FABRICATION,FABRICATED_WORLD_KNOWLEDGE,"The premises never state that Dr. Lee is a professor. While the text discusses professors generally and mentions 'an ambitious professor', Dr. Lee is never identified as a professor. The formalization assumes Dr. Lee is a professor, likely based on the 'Dr.' title, but this is not stated in the premises.",FABRICATION,FABRICATED_WORLD_KNOWLEDGE,False,,
divergent_FALSE,multilogieval,gpt-5,spooky_false,3,34,no,,,True,,False,LOW,1,FABRICATION,FABRICATED_CONTRADICTION,"The axioms create an immediate contradiction: DrLee_collabs + A2 gives RecognizedLeader DrLee, while Prof_DrLee + A3 gives ¬RecognizedLeader DrLee. The proof exploits this contradiction (explosion) rather than genuinely reasoning about whether Dr. Lee is curious. The hypothesis about curiosity is never even used in the proof.",FABRICATION,FABRICATED_CONTRADICTION,False,,
divergent_TRUE,multilogieval,gpt-5,spooky_true,1,44,yes,,,True,,True,LOW,0,,,,,,False,,
divergent_TRUE,multilogieval,gpt-5,spooky_true,2,44,yes,,,True,,True,LOW,0,,,,,,False,,
divergent_TRUE,multilogieval,gpt-5,spooky_true,3,44,yes,,,True,,True,LOW,0,,,,,,False,,
divergent_FALSE,multilogieval,gpt-5,spooky_false,2,44,yes,,,False,,False,LOW,1,FABRICATION,FABRICATED_WORLD_KNOWLEDGE,"The premise 'Having a garden fail to thrive presupposes that there is a garden' is not stated anywhere in the original premises. This is common-sense world knowledge added to enable the proof. The original premises only discuss what happens IF someone plants a garden, not that garden failure implies garden planting.",FABRICATION,FABRICATED_WORLD_KNOWLEDGE,False,,
divergent_TRUE,multilogieval,gpt-5,spooky_true,1,71,no,,,False,,True,LOW,0,,,,,,False,,
divergent_TRUE,multilogieval,gpt-5,spooky_true,2,71,no,,,False,,True,LOW,0,,,,,,False,,
divergent_TRUE,multilogieval,gpt-5,spooky_true,3,71,no,,,False,,True,LOW,0,,,,,,False,,
divergent_FALSE,multilogieval,gpt-5,spooky_false,3,71,no,,,True,,True,LOW,0,,,,,,False,,
divergent_TRUE,multilogieval,deepseek,bidir_true,1,76,no,,,False,,True,LOW,0,,,,,,False,,
divergent_TRUE,multilogieval,deepseek,bidir_true,3,76,no,,,False,,True,LOW,0,,,,,,False,,
divergent_FALSE,multilogieval,deepseek,bidir_false,1,76,no,,,True,,True,LOW,0,,,,,,False,,
divergent_FALSE,multilogieval,deepseek,bidir_false,2,76,no,,,True,,True,LOW,0,,,,,,False,,
divergent_FALSE,multilogieval,deepseek,bidir_false,3,76,no,,,True,,True,LOW,0,,,,,,False,,
divergent_TRUE,multilogieval,deepseek,bidir_true,1,91,yes,,,True,,True,LOW,0,,,,,,False,,
divergent_TRUE,multilogieval,deepseek,bidir_true,2,91,yes,,,True,,False,LOW,1,OMISSION,DROPPED_ANTECEDENT,"The premise states 'if the house gets noisy from a party, neighbors start complaining' which conditions complaints on both party AND resulting noise. The axiom P → C drops the noise condition, should be (P ∧ N) → C or similar to capture that complaints arise from party-caused noise.",OMISSION,DROPPED_ANTECEDENT,False,,
divergent_TRUE,multilogieval,deepseek,bidir_true,3,91,yes,,,True,,False,LOW,1,OMISSION,DROPPED_ANTECEDENT,"Premise 4 states 'if the house gets noisy from a party, neighbors start complaining', which should be formalized as (Party ∧ Noisy) → Complain, requiring both a party AND noise. The axiom A3 drops the noise condition, making the implication unconditional on Party alone.",OMISSION,DROPPED_ANTECEDENT,False,,
divergent_FALSE,multilogieval,deepseek,bidir_false,1,91,yes,,,False,,False,LOW,1,MISTRANSLATION,DROPPED_ANTECEDENT,"Premise 4 states 'if the house gets noisy from a party, neighbors start complaining' which should be formalized as (party ∧ noise_up) → complaints or similar. A4 formalizes this as just 'party → complaints', dropping the noise condition from the antecedent.",MISTRANSLATION,DROPPED_ANTECEDENT,False,,
divergent_FALSE,multilogieval,deepseek,bidir_false,3,91,yes,,,False,,False,LOW,1,OMISSION,DROPPED_ANTECEDENT,"The premise states 'if the house gets noisy from a party, neighbors start complaining', which has two conditions: the house is noisy AND this is from a party. The axiom T4 only requires Party, dropping the condition about the house being noisy. Should be (Party ∧ Noisy) → NeighborsComplain.",OMISSION,DROPPED_ANTECEDENT,False,,
divergent_TRUE,multilogieval,deepseek,bidir_true,1,63,no,,,False,,True,LOW,0,,,,,,False,,
