test_set,case_idx,source,model,v26_faithful,v26_category,fol_gt_faithful,fol_gt_errors
fabrication,177,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""The FOL conclusion is an existential statement '∃x (LastSummerOlympics(x) ∧ MostMedals(unitedStates, x))' asserting there exists some x that is the last"
fabrication,34,fabrication,gpt-5,,,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'Leads_of_LeaderAndIncludes' (∀ x y z, Leads x y → Includes y z → Leads x z) is not present in the FOL ground truth. This inference rule was adde"
fabrication,32,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': 'The Lean formalization introduces completely different predicates (ExercisesRegularly, Fit, EatsNutritiousFoods, Energetic, Active, ValuesWellness, Jane) t"
fabrication,181,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The Lean code introduces 'axiom A_goal : Grumpy Tom' which is not present in the FOL premises. This fabricated axiom assumes the conclusion directly, rathe"
fabrication,194,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""Axiom A directly assumes the conclusion 'SixWayTieMember Descampe DuMaurierClassic1992' which is not present in the FOL premises and trivializes the proof"""
fabrication,51,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""Added axiom 'BasqueInRomance : InFamily Basque Romance' which directly asserts the conclusion as a premise, not present in FOL GT""}, {'category': 'MISTRANS"
fabrication,123,fabrication,gpt-5,False,MISTRANSLATION,,
fabrication,199,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'inconsistent : False' is fabricated - it does not appear in the FOL ground truth premises. This axiom makes the system trivially inconsistent an"
fabrication,60,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': 'The Lean formalization introduces completely different predicates and constants (Alarm, Ready, FirstDayOfSchool, ContemplateBus, MissBus, Late, GotUpLate, "
fabrication,66,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""Premise 4's universal quantification with exclusive-or constraint (∀x (ResidentialCollege(x) → At(x, yale) ∧ (XOR of 14 colleges))) is replaced with sim"
fabrication,89,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': 'The Lean formalization adds predicates and axioms not present in the FOL GT: Person predicate, AuthorOf relation, HenryThoreau entity, and axioms P4, P7. T"
fabrication,102,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P6 introduces an extra 'Baby' predicate that does not exist in the FOL GT. The FOL GT states '¬(BornIn(luke, multipleBirth) ⊕ LiveWith(luke, strangers))"
fabrication,140,fabrication,gpt-5,False,FABRICATION,,
fabrication,150,fabrication,gpt-5,False,FABRICATION,True,
fabrication,8,fabrication,gpt-5,False,FABRICATION,,
fabrication,152,fabrication,gpt-5,False,FABRICATION,,
fabrication,173,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""FOL P1 states 'ConsciousAbout(x, health) ∧ ConsciousAbout(x, eatinggHabit)' (a conjunction of two separate predicates), but Lean P1 uses a single predic"
fabrication,172,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The LEAN formalization adds 'axiom Extra : GrewUpInHealthConsciousChildhoodHomes Taylor' which does not exist in the FOL ground truth. This fabricated axio"
fabrication,78,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'OMISSION', 'explanation': ""The Product predicate is completely missing from the Lean formalization, but it appears in both P4's antecedent and the conclusion in the FOL ground truth""}, "
fabrication,169,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P5 in FOL states '∀x (MildFlu(x) → ¬ComeWith(x, lowSurvivalRate))' meaning mild flus do NOT have low survival rates. Lean declares MildFlu as a constant"
fabrication,0,fabrication,gpt-5,False,FABRICATION,,
fabrication,3,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'OMISSION', 'explanation': 'P2 is missing the Employee(x) condition from the antecedent. FOL has (Employee(x) ∧ HasLunch(x, company)) but Lean only has LunchInCompanyBuilding x.'}, {'cat"
fabrication,17,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': 'Premise 3 uses XOR (⊕) in FOL GT but is translated as inclusive OR (∨) in Lean A3. XOR means exactly one of Rabbit/Squirrel, while OR means at least one"
fabrication,23,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The formalization adds 'axiom A_goal : ShareWith Karen Lisa BlackMirror' which directly asserts the conclusion as a premise. This axiom does not correspond"
fabrication,25,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""Premise 2: FOL has existential quantifier with implication '∃x (CapitalOf(beijing, x) → WorldsMostPopulousNation(x))' but Lean translates as direct 'Cap"
fabrication,34,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'Leads_of_LeaderAndIncludes' (∀ x y z, Leads x y → Includes y z → Leads x z) is fabricated and not present in the FOL ground truth. This addition"
fabrication,35,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': 'The entire Lean formalization is about a completely different problem domain (Lucy being hacked, password resets, bank notifications) that has no relation "
fabrication,38,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': 'FOL Premise 2 states every music piece has some composer who wrote it (∀x (MusicPiece(x) → ∃y (Composer(y) ∧ Write(y, x)))). Lean R1 states every compos"
fabrication,41,fabrication,gpt-5,False,FABRICATION,,
fabrication,46,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""Added 'Student' predicate in P1 and 'Student James' axiom (SJ) that do not exist in the FOL ground truth""}, {'category': 'MISTRANSLATION', 'explanation': '"
