case_idx,source,model,primary_category,primary_subtype,explanation,verdict,confidence,reasoning,fol_gt_support
157,divergent_TRUE,gpt-5,MISTRANSLATION,WRONG_CONNECTIVE,"The premise 'James doesn't work in the lab or have a part-time job offered by the university' means James lacks both properties, which should be formalized as a conjunction: ¬ WorksInLab James ∧ ¬ UniPartTime James. The axiom uses disjunction (∨) instead of conjunction (∧).",UNCERTAIN,LOW,"Without FOL GT or natural language premises, I cannot verify the claim. The linguistic argument in the flagged error is plausible - 'doesn't X or Y' typically means conjunction of negations. However, the presence of P6 (WorksInLab James) alongside a premise supposedly saying James doesn't work in the lab suggests either the flagged error misquotes the premise, or there are multiple issues with the formalization.",N/A - No FOL ground truth provided to compare against
157,divergent_TRUE,gpt-5,MISTRANSLATION,WRONG_CONNECTIVE,"The premise 'James doesn't work in the lab or have a part-time job offered by the university' means James does neither activity, which should be formalized as ¬WorkingInLab James ∧ ¬HasUnivPartTimeJob James (conjunction of negations). The axiom uses disjunction (∨) instead of conjunction (∧).",UNCERTAIN,LOW,"Without FOL ground truth (N/A provided), I cannot verify the original natural language premise. The Lean formalization is internally consistent - P6 (WorksInLab James) combined with P7 (disjunction) allows proving the theorem. If the original premise truly stated James does neither activity, then P6 and P7 would be contradictory, suggesting the disjunction interpretation may be correct. However, without the actual premises, I cannot confirm or deny the error.",No FOL GT available (N/A) to support or contradict the error claim
77,divergent_FALSE,gpt-5,FABRICATION,FABRICATED_CONTRADICTION,"The proof exploits a contradiction (NeedsMoney Hannah from R1+TWork, and ¬NeedsMoney Hannah from TSpecial) to prove False, then derives ¬Statement via explosion. However, the conclusion is actually TRUE given the premises: from the contradiction we get ¬Picky Hannah, which makes the Statement true. The proof direction should be TRUE, not FALSE.",UNCERTAIN,LOW,"Without FOL ground truth (both premises and conclusion are N/A), it's impossible to verify whether P7 is correctly formalized or whether the original problem's conclusion should be TRUE or FALSE. The proof correctly derives False from the given axioms - the question is whether those axioms accurately represent the original problem.",No FOL GT available (N/A for both premises and conclusion) - cannot verify the error claim
156,divergent_FALSE,gpt-5,OMISSION,MISSING_AXIOM,"The premise 'James doesn't work in the lab or have a part-time job offered by the university' (¬WorksInLab(James) ∨ ¬PartTimeJob(James)) is not formalized. While the proof still works using other premises to derive the conclusion, this stated premise should be represented.",FALSE_POSITIVE,MEDIUM,"The flagged error claims the premise is 'not formalized', but P7 clearly formalizes 'James doesn't work in the lab or have a part-time job'. The formalization ¬(WorksInLab James ∨ HasPartTimeJob James) is the standard reading of this English sentence. The error incorrectly suggests it should be ¬WorksInLab ∨ ¬HasPartTimeJob, but that's a different logical statement. The premise IS represented in the formalization.","FOL GT is N/A, so cannot definitively confirm, but the Lean axiom P7 does represent the stated premise about James not working in lab or having a part-time job."
158,divergent_TRUE,gpt-5,MISTRANSLATION,WRONG_CONNECTIVE,"The premise 'James doesn't work in the lab or have a part-time job offered by the university' means James doesn't do either activity, which should be formalized as a conjunction: ¬ WorksLab James ∧ ¬ PartTimeUniJob James. The formalization incorrectly uses disjunction (∨) instead of conjunction (∧).",UNCERTAIN,MEDIUM,"Without FOL ground truth, I cannot verify the original premise's intended meaning. The English phrase is genuinely ambiguous. However, the flagged error's suggested correction (conjunction) would create a direct contradiction with P6 (WorksInLab James), which suggests the disjunction formulation may be intentional to maintain consistency. The error claim may be based on a particular reading of the English that doesn't account for the full axiom system.",No FOL GT available (N/A) to verify the correct formalization of this premise
156,divergent_FALSE,gpt-5,MISTRANSLATION,WRONG_SCOPE,"The premise 'James doesn't work in the lab or have a part-time job offered by the university' means James does neither activity: ¬(WorkInLab James ∨ UnivPT James), which is equivalent to ¬WorkInLab James ∧ ¬UnivPT James. The axiom A7 instead encodes ¬WorkInLab James ∨ ¬UnivPT James (disjunction of negations), which is a weaker claim with incorrect negation scope.",FALSE_POSITIVE,HIGH,"The flagged error claims axiom P7 encodes '¬WorkInLab James ∨ ¬UnivPT James' (disjunction of negations), but the actual Lean code shows 'axiom P7 : ¬ (WorksInLab James ∨ HasPartTimeJob James)' which IS the negation of the disjunction - exactly what the error claims should be correct. The error description misread the Lean formalization.","FOL GT is N/A, so cannot provide independent verification. However, the Lean syntax with parentheses clearly shows correct scope."
158,divergent_TRUE,gpt-5,MISTRANSLATION,WRONG_SCOPE,"The premise 'James doesn't work in the lab or have a part-time job' means James has neither property, which should be '¬WorksLab James ∧ ¬PTJob James'. The formalization incorrectly parses this as '¬WorksLab James ∨ PTJob James', mishandling the scope of negation and dropping the negation on PTJob.",UNCERTAIN,LOW,"The flagged error makes a linguistically plausible claim about how 'doesn't X or Y' should be interpreted (as conjunction of negations rather than disjunction of negations). However, with no FOL ground truth available (N/A), there is no authoritative reference to verify the intended formalization. Additionally, if the error claim is correct, P6 and P7 would be contradictory, which may or may not be intentional in the original problem.",No FOL GT available (N/A) - cannot verify the intended formalization
156,divergent_FALSE,deepseek,MISTRANSLATION,WRONG_CONNECTIVE,The premise 'James doesn't work in the lab or have a part-time job offered by the university' means James lacks both (conjunction): ¬worksInLab James ∧ ¬hasPartTimeJob James. The formalization uses disjunction (∨) instead of conjunction (∧).,FALSE_POSITIVE,HIGH,"The flagged error claims ¬(A ∨ B) should be ¬A ∧ ¬B, but these are logically equivalent by De Morgan's Law. The formalization correctly captures the meaning 'James doesn't work in the lab AND doesn't have a part-time job.' The real issue is that P6 and P7 are contradictory (P6 says James works in lab, P7 implies he doesn't), but that's a different error than what was flagged.","FOL GT is N/A, so cannot directly verify. However, the logical equivalence between ¬(A ∨ B) and ¬A ∧ ¬B is a mathematical fact that makes the flagged error invalid."
157,divergent_TRUE,deepseek,FABRICATION,FABRICATED_CONTRADICTION,"A6 states 'worksInLab James' while A7 states '¬(worksInLab James ∨ hasUniPartTimeJob James)' which implies '¬worksInLab James'. These axioms directly contradict each other, creating an inconsistent axiom set that can prove anything via explosion.",FALSE_POSITIVE,HIGH,"The error description misreads P7. P7 states '¬ WorksInLab James ∨ ¬ HasPartTimeJob James' (a disjunction of negations), NOT '¬(WorksInLab James ∨ HasPartTimeJob James)' (negation of a disjunction). These are logically different. P6 and P7 are perfectly consistent - P6 says James works in lab, P7 says James doesn't work in lab OR doesn't have a part-time job. Together they imply James doesn't have a part-time job, which is exactly what the theorem proves.","FOL GT is N/A, but logical analysis confirms the axioms are consistent and the proof is valid."
76,divergent_TRUE,deepseek,OMISSION,MISSING_AXIOM,"Premise 6 states 'Hannah is at Mary's school' but P6 formalizes 'WorksJob Hannah' which is actually part of premise 7. The fact that Hannah is at Mary's school is not represented. | The conclusion states 'Hannah is at Mary's school AND she is not a picky eater AND spends time...' but the theorem only proves 'NotPicky Hannah ∧ SpendsTime Hannah', omitting the 'at Mary's school' conjunct.",REAL_ERROR,HIGH,"The Lean formalization is completely unrelated to the problem. The FOL GT is about mammals/teeth/platypuses/humans, but the Lean code formalizes a completely different problem about weekends, relaxing, and to-do lists. This is a fundamental formalization error - the wrong problem was formalized entirely. The flagged error explanation itself also references unrelated content (Hannah, Mary's school), suggesting multiple data integrity issues.","FOL GT premises involve Mammal(x), Have(x, teeth), platypus, humans - none of which appear in the Lean formalization which instead uses propositions W, R, F, C, O, T about weekends and tasks."
