source,dataset,model,condition,run,case_idx,ground_truth,prediction,direction_pred,matches_gt,correct,is_faithful,confidence,error_count,categories,subtypes,explanation,primary_category,primary_subtype,premise_contradiction,premise_contradiction_note,error_message
fabrication,folio,gpt-5,,1,177,True,Uncertain,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,The axiom A directly states the conclusion that needs to be proved. The conclusion 'The United States won the most medals in the last summer Olympic games' is assumed as an axiom rather than being derived from the premises.,FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,34,Uncertain,Uncertain,,,,False,LOW,1,FABRICATION,FABRICATED_WORLD_KNOWLEDGE,Axiom introduces unstated assumption that leading a group implies leading its members.,FABRICATION,FABRICATED_WORLD_KNOWLEDGE,False,,
fabrication,folio,gpt-5,,1,32,False,False,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"The conclusion '¬ LivesInTaxHaven Djokovic' is introduced as an axiom rather than being derived from the premises. The conclusion should be proven from the premises, not assumed. In fact, the code itself proves the opposite (that Djokovic lives in a tax haven) from the premises.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,181,Uncertain,Uncertain,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"The conclusion 'Tom is a grumpy person' is added as an axiom rather than being derived from the premises. While the code comments acknowledge the conclusion doesn't follow, asserting it as an axiom makes the formalization unfaithful.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,194,Uncertain,Uncertain,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"The conclusion that Descampe is in the six-way tie is directly introduced as an axiom. This is explicitly acknowledged in the comment as being done because the conclusion is not derivable from the premises. The premises only state that some Belgian person is in the six-way tie, not that Descampe specifically is.",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,51,False,Uncertain,,,,False,LOW,1,FABRICATION,CONCLUSION_AS_AXIOM,"The axiom 'BasqueInRomance' directly asserts the conclusion 'Basque is a Romance language' as a premise. This is not stated in any of the given premises - in fact, the premises suggest the opposite (Basque is not related to any other language, but Romance languages are related to each other).",FABRICATION,CONCLUSION_AS_AXIOM,False,,
fabrication,folio,gpt-5,,1,123,True,Uncertain,,,,False,LOW,2,MISTRANSLATION|FABRICATION,WRONG_NEGATION|CONCLUSION_AS_AXIOM,"The premise states 'not a Tesla Model 3 or a single-seat electric car' meaning neither one, which should be (¬TeslaModel3 ∨ ¬SingleSeatElectricCar). The formalization incorrectly has (¬TeslaModel3 ∨ SingleSeatElectricCar), missing the negation on SingleSeatElectricCar. | The conclusion '¬ SoloEV JohnsCar' is asserted as an axiom rather than being derived from the premises.",MISTRANSLATION,WRONG_NEGATION,False,,
fabrication,folio,gpt-5,,1,199,False,False,,,,False,LOW,1,FABRICATION,FABRICATED_CONTRADICTION,"This axiom asserts False directly, which has no basis in any premise. It is used to prove a conclusion that actually contradicts the premises (the premises state Ailton Silva plays for Náutico, which is a football club, so the conclusion that he doesn't play for any football club is false).",FABRICATION,FABRICATED_CONTRADICTION,False,,
fabrication,folio,gpt-5,,1,60,Uncertain,Uncertain,,,,False,LOW,1,FABRICATION,FABRICATED_INVENTED,"No premise states that Mike does not have a J1 visa. This axiom is invented to make the conclusion provable. From the given premises, we can only derive that Mike has F1 OR J1, not that Mike specifically has F1.",FABRICATION,FABRICATED_INVENTED,False,,
fabrication,folio,gpt-5,,1,66,Uncertain,Uncertain,,,,False,LOW,1,FABRICATION,FABRICATED_WORLD_KNOWLEDGE,"The premises only state Yale's endowment is $42.3 billion. They do not state that this amount constitutes the largest university endowment. This axiom fabricates the world knowledge that $42.3 billion is the largest endowment among all educational institutions, which is not provided in the premises.",FABRICATION,FABRICATED_WORLD_KNOWLEDGE,False,,
