source,dataset,model,condition,run,case_idx,ground_truth,prediction,direction_pred,matches_gt,correct,is_faithful,confidence,error_count,categories,subtypes,explanation,primary_category,primary_subtype,premise_contradiction,premise_contradiction_note,error_message
divergent_TRUE,folio,gpt-5,bidir_true,1,75,Uncertain,,,False,,True,LOW,0,,,,,,False,,
divergent_FALSE,folio,gpt-5,bidir_false,1,75,Uncertain,,,False,,True,LOW,0,,,,,,False,,
divergent_TRUE,folio,gpt-5,bidir_true,1,76,True,,,True,,True,LOW,0,,,,,,False,,
divergent_FALSE,folio,gpt-5,bidir_false,1,76,True,,,False,,True,LOW,0,,,,,,False,,
divergent_TRUE,folio,gpt-5,bidir_true,1,77,False,,,False,,True,LOW,0,,,,,,False,,
divergent_FALSE,folio,gpt-5,bidir_false,1,77,False,,,True,,True,LOW,0,,,,,,False,,
divergent_TRUE,folio,gpt-5,bidir_true,1,156,False,,,False,,False,LOW,1,MISTRANSLATION,WRONG_CONNECTIVE,"The premise 'James doesn't work in the lab or have a part-time job offered by the university' most naturally reads as '¬WorkInLab James ∨ ¬PTJobUniv James' (James lacks at least one of these). The formalization uses '¬(WorkInLab James ∨ PTJobUniv James)' which equals '¬WorkInLab James ∧ ¬PTJobUniv James' (James lacks both). This stronger interpretation creates a direct contradiction with T1, enabling explosion to prove anything.",MISTRANSLATION,WRONG_CONNECTIVE,False,,
divergent_FALSE,folio,gpt-5,bidir_false,1,156,False,,,True,,True,LOW,0,,,,,,False,,
divergent_TRUE,folio,gpt-5,bidir_true,1,157,True,,,True,,True,LOW,0,,,,,,False,,
divergent_FALSE,folio,gpt-5,bidir_false,1,157,True,,,False,,True,LOW,0,,,,,,False,,
divergent_TRUE,folio,gpt-5,bidir_true,1,158,True,,,True,,True,LOW,0,,,,,,False,,
divergent_FALSE,folio,gpt-5,bidir_false,1,158,True,,,False,,True,LOW,0,,,,,,False,,
divergent_TRUE,folio,gpt-5,bidir_true,1,159,Uncertain,,,False,,True,LOW,0,,,,,,False,,
divergent_FALSE,folio,gpt-5,bidir_false,1,159,Uncertain,,,False,,True,LOW,0,,,,,,False,,
divergent_TRUE,folio,gpt-5,bidir_true,2,75,Uncertain,,,False,,True,LOW,0,,,,,,False,,
divergent_FALSE,folio,gpt-5,bidir_false,2,75,Uncertain,,,False,,True,LOW,0,,,,,,False,,
divergent_TRUE,folio,gpt-5,bidir_true,2,76,True,,,True,,True,LOW,0,,,,,,False,,
divergent_FALSE,folio,gpt-5,bidir_false,2,76,True,,,False,,True,LOW,0,,,,,,False,,
divergent_TRUE,folio,gpt-5,bidir_true,2,77,False,,,False,,True,LOW,0,,,,,,False,,
divergent_FALSE,folio,gpt-5,bidir_false,2,77,False,,,True,,True,LOW,0,,,,,,False,,
divergent_TRUE,folio,gpt-5,bidir_true,2,156,False,,,False,,True,LOW,0,,,,,,False,,
divergent_FALSE,folio,gpt-5,bidir_false,2,156,False,,,True,,True,LOW,0,,,,,,False,,
