source,dataset,model,condition,run,case_idx,ground_truth,prediction,direction_pred,matches_gt,correct,is_faithful,confidence,error_count,categories,subtypes,explanation,primary_category,primary_subtype,premise_contradiction,premise_contradiction_note,error_message
stratified_correct,folio,deepseek,baseline,,200,False,False,,,,True,LOW,0,,,,,,False,,
stratified_correct,folio,deepseek,baseline,,38,False,False,,,,True,LOW,0,,,,,,False,,
stratified_correct,folio,deepseek,baseline,,10,False,False,,,,False,LOW,1,MISTRANSLATION,WRONG_NEGATION,"The conclusion states 'Tom is an Eastern wild turkey' which should be formalized as TomKind = TurkeyKind.Eastern, but the theorem proves TomKind ≠ TurkeyKind.Eastern (the negation). The theorem proves Tom is NOT Eastern, while the conclusion claims Tom IS Eastern.",MISTRANSLATION,WRONG_NEGATION,False,,
stratified_correct,folio,deepseek,baseline,,102,False,False,,,,False,LOW,1,MISTRANSLATION,WRONG_NEGATION,"The stated conclusion is 'Luke complains often about annoying siblings' (positive), but the theorem proves '¬ ComplainAnnoyingSiblings Luke' (negative). The theorem proves the opposite of the stated conclusion.",MISTRANSLATION,WRONG_NEGATION,False,,
stratified_correct,folio,deepseek,baseline,,82,False,False,,,,True,LOW,0,,,,,,False,,
stratified_correct,folio,deepseek,baseline,,50,True,True,,,,True,LOW,0,,,,,,False,,
stratified_correct,folio,deepseek,baseline,,28,True,True,,,,True,LOW,0,,,,,,False,,
stratified_correct,folio,deepseek,baseline,,21,True,True,,,,True,LOW,0,,,,,,False,,
stratified_correct,folio,deepseek,baseline,,146,True,True,,,,True,LOW,0,,,,,,False,,
stratified_correct,folio,deepseek,baseline,,26,Uncertain,Uncertain,,,,True,LOW,0,,,,,,False,,
stratified_correct,folio,deepseek,baseline,,161,Uncertain,Uncertain,,,,True,LOW,0,,,,,,False,,
stratified_correct,folio,deepseek,baseline,,8,Uncertain,Uncertain,,,,True,LOW,0,,,,,,False,,
stratified_correct,folio,deepseek,baseline,,7,Uncertain,Uncertain,,,,True,LOW,0,,,,,,False,,
stratified_correct,folio,deepseek,baseline,,70,Uncertain,Uncertain,,,,False,LOW,1,OMISSION,MISSING_AXIOM,"The premise 'KO is a mature stock' implicitly entails that KO is a stock, since 'mature stock' is a subtype of 'stock'. The formalization is missing an axiom like '∀ x, MatureStock x → Stock x' to capture this implicit taxonomic relationship.",OMISSION,MISSING_AXIOM,False,,
stratified_correct,folio,gpt-5,baseline,,108,False,False,,,,True,LOW,0,,,,,,False,,
stratified_correct,folio,gpt-5,baseline,,74,False,False,,,,False,LOW,1,MISTRANSLATION,WRONG_NEGATION,"The conclusion to be proven is 'Tom's license plate is from Istanbul' (FromIstanbul TomPlate), but the theorem proves '¬ FromIstanbul TomPlate' (Tom's license plate is NOT from Istanbul). This is a polarity error - the theorem proves the negation of the stated conclusion.",MISTRANSLATION,WRONG_NEGATION,False,,
stratified_correct,folio,gpt-5,baseline,,82,False,False,,,,False,LOW,1,MISTRANSLATION,WRONG_NEGATION,"The conclusion states 'Dried Thai chilies are cupcakes and products of Baked by Melissa' which should be formalized as 'Cupcake DTC ∧ BBMProduct DTC'. Instead, the theorem proves the negation '¬(Cupcake DTC ∧ BBMProduct DTC)'. The formalization proves the opposite of the stated conclusion.",MISTRANSLATION,WRONG_NEGATION,False,,
stratified_correct,folio,gpt-5,baseline,,176,False,False,,,,True,LOW,0,,,,,,False,,
stratified_correct,folio,gpt-5,baseline,,78,False,False,,,,False,LOW,1,MISTRANSLATION,WRONG_NEGATION,"The stated conclusion is 'Dried Thai chilies are products of Baked by Melissa' which should be formalized as 'FromBBM DriedThaiChilies', but the theorem proves the negation '¬ FromBBM DriedThaiChilies'.",MISTRANSLATION,WRONG_NEGATION,False,,
stratified_correct,folio,gpt-5,baseline,,42,True,True,,,,True,LOW,0,,,,,,False,,
stratified_correct,folio,gpt-5,baseline,,84,True,True,,,,True,LOW,0,,,,,,False,,
stratified_correct,folio,gpt-5,baseline,,1,True,True,,,,True,LOW,0,,,,,,False,,
